k,weight_factor,penalty_factor,MSE
2,180,0.5,2.228250158155084
3,1,0.4,2.105179667684104
3,1,0.5,2.1050344805261165
3,30,0.4,2.1033131947167214
3,30,0.5,2.1023195724880304
3,80,0.4,2.10072225311617
3,80,0.5,2.0982538038751777
3,120,0.4,2.0990642052118047
3,120,0.5,2.0953461580510897
3,140,0.4,2.098349522795561
3,140,0.5,2.0939883544744866
3,145,0.4,2.0981827419040497
3,145,0.5,2.0936596549691773
3,150,0.4,2.0980208005707657
3,150,0.5,2.093335463611951
3,180,0.4,2.0971537740476265
3,180,0.5,2.0914906374687243
4,1,0.4,2.038880569971885
4,1,0.5,2.0105232458172244
4,30,0.4,2.036065235877392
4,30,0.5,2.0087055709928388
4,80,0.4,2.031629636950361
4,80,0.5,2.0059309649658648
4,120,0.4,2.0283754229017363
4,120,0.5,2.003844415223679
4,140,0.4,2.026845848181913
4,140,0.5,2.002837972279856
4,145,0.4,2.0264748291124817
4,145,0.5,2.0025916757112396
4,150,0.4,2.0261086372377575
4,150,0.5,2.002347839370932
4,180,0.4,2.0240204256226444
4,180,0.5,2.000945458247975
5,1,0.4,2.0306069248392182
5,1,0.5,2.0123867785376275
5,30,0.4,2.0266816979037445
5,30,0.5,2.0082470191963706
5,80,0.4,2.020621923725419
5,80,0.5,2.001838244884311
5,120,0.4,2.0162673040867976
5,120,0.5,1.9971591851835786
5,140,0.4,2.014234541881319
5,140,0.5,1.994952082762079
5,145,0.4,2.0137415869827633
5,145,0.5,1.9944149422044826
5,150,0.4,2.0132548358171882
5,150,0.5,1.9938838706984738
5,180,0.4,2.010468080879655
5,180,0.5,1.9908305395140453
6,1,0.4,1.9590756570425447
6,1,0.5,1.9536975837152593
6,30,0.4,1.9556979964498358
6,30,0.5,1.950119984437751
6,80,0.4,1.9505690919758774
6,80,0.5,1.9446350779553943
6,120,0.4,1.9469301519963123
6,120,0.5,1.9406386592389842
6,140,0.4,1.9452454792554106
6,140,0.5,1.9387542745299824
6,145,0.4,1.9448386375101903
6,145,0.5,1.9382959996805156
6,150,0.4,1.944437659711671
6,150,0.5,1.9378430958928572
6,180,0.4,1.9421591042685957
6,180,0.5,1.9352449159687501
7,1,0.4,1.9199362234107318
7,1,0.5,1.923217970389442
7,30,0.4,1.916669062999312
7,30,0.5,1.9197762950621189
7,80,0.4,1.9118024070694715
7,80,0.5,1.9146013183906043
7,120,0.4,1.9084148764304054
7,120,0.5,1.9109013304052296
7,140,0.4,1.9068579127464511
7,140,0.5,1.9091705118463707
7,145,0.4,1.9064825118612165
7,145,0.5,1.908750521384035
7,150,0.4,1.9061126697283652
7,150,0.5,1.9083357492901343
7,180,0.4,1.904011950103701
7,180,0.5,1.9059604982868288
8,1,0.4,1.9033060291595225
8,1,0.5,1.918633248838683
8,30,0.4,1.900809036835806
8,30,0.5,1.9159895101211177
8,80,0.4,1.8971476111832482
8,80,0.5,1.9120566235867256
8,120,0.4,1.8945933062705933
8,120,0.5,1.9092105158870567
8,140,0.4,1.8934057491017633
8,140,0.5,1.9078567002110216
8,145,0.4,1.8931176823730744
8,145,0.5,1.907525662566986
8,150,0.4,1.8928331616336445
8,150,0.5,1.9071977180712723
8,180,0.4,1.8912022237294583
8,180,0.5,1.905298894034035
9,1,0.4,1.9038137532471167
9,1,0.5,1.9124093368390533
9,30,0.4,1.9011140278159937
9,30,0.5,1.9096461627745211
9,80,0.4,1.897063368675106
9,80,0.5,1.9054953994207817
9,120,0.4,1.8941502047423786
9,120,0.5,1.9024509948796489
9,140,0.4,1.8927669593582321
9,140,0.5,1.9009885997262266
